Anio,Semana,Mes,Fecha,Grupo,Lote,Bin,Bruto,Tara,Neto,DescarteKg,Motivo,Calidad
2026,14,abril,2026-04-01,4725,70,canastas,492,101,391,166.0,,PE2
2026,14,abril,2026-04-01,4725,63,canastas,647,89,558,18.0,,PE1
2026,14,abril,2026-04-02,4725,63,canastas,534,91,443,34.0,,PIND
2026,14,abril,2026-04-02,226,17,canastas,648,90,558,17.0,,AD-PJUG
2026,14,abril,2026-04-04,4725,70,canastas,260,63,197,90.0,,PE1
2026,14,abril,2026-04-04,4725,63,canastas,599,91,508,1.0,,PE3
2026,14,abril,2026-04-04,4625,63,canastas,548,91,457,2.0,,PEGUA
2026,14,abril,2026-04-04,4725,70,canastas,513,84,429,3.0,,PEBAB
2026,14,abril,2026-04-04,4725,70,canastas,618,92,526,4.0,,PE3
2026,14,abril,2026-04-04,4725,70,canastas,527,91,436,5.0,,PEBAB
2026,14,abril,2026-04-04,4725,63,canastas,310,73,237,77.0,,PE2
2026,14,abril,2026-04-04,4825,71,canastas,546,84,462,27.0,,PE1
2026,14,abril,2026-04-04,4725,70,canastas,611,91,520,7.0,,PE2
2026,14,abril,2026-04-04,4725,70,canastas,624,91,533,39.0,,PE1
2026,15,abril,2026-04-06,4725,62,canastas,728,100,628,2.0,,PE3
2026,15,abril,2026-04-06,4725,62,canastas,650,95,555,2.0,,PE3
2026,15,abril,2026-04-06,4725,62,canastas,611,91,520,2.0,,PEGUA
2026,15,abril,2026-04-06,4725,62,canastas,585,91,494,6.0,,PEGUA
2026,15,abril,2026-04-06,4725,62,canastas,626,90,536,3.0,,PE1
2026,15,abril,2026-04-06,4725,70,canastas,597,90,507,2.0,,PE2
2026,15,abril,2026-04-06,4725,62,canastas,622,91,531,6.0,,PE1
2026,15,abril,2026-04-06,4725,62,canastas,616,91,525,2.0,,PE3
2026,15,abril,2026-04-06,4725,62,canastas,581,90,491,1.0,,PE3
2026,15,abril,2026-04-06,4825,71,canastas,568,91,477,10.0,,PIND
2026,15,abril,2026-04-06,4825,71,canastas,663,91,572,20.0,,PE1
2026,15,abril,2026-04-06,4825,71,canastas,666,92,574,18.0,,PE1
2026,15,abril,2026-04-06,4725,62,canastas,602,91,511,10.0,,PE1
2026,15,abril,2026-04-06,4725,62,canastas,610,91,519,2.0,,PE1
