ID,FechaProceso,Calibre,Categoria,Grado,PesoNeto,Lote,Grupo
183865,2026-04-01,PE2,piña special 2da,0.5,498,70,4625
183866,2026-04-01,PE3,piña special 3ra,0.0 - 1.0,496,70,4625
183867,2026-04-01,PEGUA,piña special guapita,1.5 - 2.5,463,70,4625
183868,2026-04-01,PE2,piña special 2da,1.5,397,70,4625
183869,2026-04-01,PEBAB,piña special baby,1.5 - 2.5,394,70,4625
183870,2026-04-01,PE2,piña special 2da,0.0 - 1.0,251,70,4625
183871,2026-04-01,PEGUA,piña special guapita,1.5 - 2.5,463,70,4625
183872,2026-04-01,PEGUA,piña special guapita,1.5 - 2.5,418,70,4625
183873,2026-04-01,PIND,piña indstria,1.5 - 2.5,453,70,4625
183874,2026-04-01,PE3,piña special 3ra,3.0 - 4.0,473,70,4625
183875,2026-04-01,PEGUA,piña special guapita,1.5 - 2.5,462,70,4625
183876,2026-04-01,PEBAB,piña special baby,1.5 - 2.5,380,70,4625
183877,2026-04-01,PEGUA,piña special guapita,1.5 - 2.5,503,70,4625
183878,2026-04-01,PE3,piña special 3ra,1.5 - 2.5,483,70,4625
183879,2026-04-01,PEGUA,piña special guapita,1.5 - 2.5,424,63,4625
183880,2026-04-01,PEBAB,piña special baby,1.5 - 2.5,431,63,4625
183881,2026-04-01,PEGUA,piña special guapita,1.5 - 2.5,457,63,4625
183882,2026-04-01,PE3,piña special 3ra,3.0 - 4.0,474,63,4625
183883,2026-04-01,PE3,piña special 3ra,1.5 - 2.5,23,63,4625
183884,2026-04-01,PE1,piña special 1ra,0.5,566,70,4725
183885,2026-04-01,PE1,piña special 1ra,1,570,70,4725
183886,2026-04-01,PEBAB,piña special baby,1.5 - 2.5,371,70,4725
183887,2026-04-01,PE3,piña special 3ra,0.0 - 1.0,501,70,4725
183888,2026-04-01,PE1,piña special 1ra,1,547,70,4725
183889,2026-04-01,PE1,piña special 1ra,1,559,70,4725
183890,2026-04-01,PE1,piña special 1ra,0.5,518,70,4725
183891,2026-04-01,PE1,piña special 1ra,1,561,70,4725
183892,2026-04-01,PE1,piña special 1ra,1,548,70,4725
183893,2026-04-01,PE1,piña special 1ra,0.5,513,70,4725
183894,2026-04-01,PE2,piña special 2da,1.5,391,70,4725
183895,2026-04-01,PE2,piña special 2da,0.5,501,70,4725
183896,2026-04-01,PE2,piña special 2da,0.5,517,70,4725
183897,2026-04-01,PE1,piña special 1ra,1,550,70,4725
183898,2026-04-01,PE1,piña special 1ra,3.0 - 4.0,518,63,4725
183899,2026-04-01,PE2,piña special 2da,3.0 - 4.0,65,63,4725
183900,2026-04-01,PE3,piña special 3ra,3.0 - 4.0,40,63,4725
183901,2026-04-01,PIND,piña indstria,1.5 - 2.5,443,63,4725
183902,2026-04-01,PE2,piña special 2da,1.5,463,63,4725
183903,2026-04-01,PE1,piña special 1ra,1.5 - 2.5,563,63,4725
183904,2026-04-01,PE1,piña special 1ra,0.5,510,63,4725
183905,2026-04-01,PE1,piña special 1ra,1,554,63,4725
183906,2026-04-01,PEGUA,piña special guapita,1.5 - 2.5,423,63,4725
183907,2026-04-01,PE3,piña special 3ra,0.0 - 1.0,496,63,4725
183908,2026-04-01,AD2,Piña AD2,0.0 - 1.0,505,17,226
183909,2026-04-01,AD1,Piña AD1,0.0 - 1.0,569,17,226
183910,2026-04-01,PIND,piña indstria,1.5 - 2.5,458,70,4725
183911,2026-04-01,PE1,piña special 1ra,0.5,526,70,4725
183912,2026-04-01,AD-PJUG,AD-piña jugos,3.0 - 4.0,558,17,226
183913,2026-04-01,PE3,piña special 3ra,0.0 - 1.0,41,70,4725
183914,2026-04-01,AD2,Piña AD2,0.0 - 1.0,507,17,226
183915,2026-04-01,AD1,Piña AD1,0.0 - 1.0,548,17,226
183916,2026-04-01,AD3,Piña AD3,0.0 - 1.0,297,17,226
183917,2026-04-01,PE2,piña special 2da,2,56,63,4725
183918,2026-04-01,PE2,piña special 2da,0.0 - 1.0,502,63,4725
183919,2026-04-01,PE1,piña special 1ra,1,541,63,4725
183920,2026-04-01,PE2,piña special 2da,0.0 - 1.0,500,63,4725
183921,2026-04-01,PE1,piña special 1ra,1,558,63,4725
183922,2026-04-01,PE1,piña special 1ra,0.5,491,63,4725
183923,2026-04-01,PIND,piña indstria,1.5 - 2.5,500,63,4725
183924,2026-04-01,PE1,piña special 1ra,1,561,63,4725
183925,2026-04-01,PE1,piña special 1ra,0.0 - 1.0,576,63,4725
183926,2026-04-01,PE1,piña special 1ra,0.0 - 1.0,529,63,4725
183927,2026-04-01,PE1,piña special 1ra,0.0 - 1.0,556,63,4725
183928,2026-04-01,PEGUA,piña special guapita,1.5 - 2.5,437,63,4725
183929,2026-04-01,PE3,piña special 3ra,1.5 - 2.5,488,63,4725
183930,2026-04-01,AD-PJUG,AD-piña jugos,1.5 - 2.5,498,17,426
183931,2026-04-01,PE1,piña special 1ra,0.0 - 1.0,581,63,4725
183932,2026-04-01,PE2,piña special 2da,0.0 - 1.0,331,63,4725
183933,2026-04-01,PE2,piña special 2da,0.0 - 1.0,517,63,4725
183934,2026-04-01,PE1,piña special 1ra,0.0 - 1.0,638,63,4725
183935,2026-04-01,PE3,piña special 3ra,1.5 - 2.5,43,63,4725
183936,2026-04-01,PE3,piña special 3ra,3.0 - 4.0,408,63,4725
183937,2026-04-01,PEGUA,piña special guapita,1.5 - 2.5,516,63,4725
183938,2026-04-01,PE3,piña special 3ra,0.0 - 1.0,200,63,4725
183939,2026-04-01,PE1,piña special 1ra,1.5 - 2.5,361,63,4725
183940,2026-04-01,PE3,piña special 3ra,0.0 - 1.0,505,63,4725
183941,2026-04-01,PE1,piña special 1ra,3.0 - 4.0,533,70,4725
183942,2026-04-01,PE2,piña special 2da,0.0 - 1.0,419,70,4725
183943,2026-04-01,PE2,piña special 2da,3.0 - 4.0,339,70,4725
