ID,Bin,Fecha,Calidad,Nombre,Calibre,KgDisponibles
197062,canastas,2026-07-17,PEGUA,piña special guapita,1.5 - 2.5,495
197072,canastas,2026-07-17,PEGUA,piña special guapita,1.5 - 2.5,548
197076,canastas,2026-07-17,PEGUA,piña special guapita,1.5 - 2.5,471
197078,canastas,2026-07-17,PEBAB,piña special baby,1.5 - 2.5,623
197081,canastas,2026-07-17,PEGUA,piña special guapita,1.5 - 2.5,585
197100,canastas,2026-07-17,PEBAB,piña special baby,1.5 - 2.5,418
197101,canastas,2026-07-17,PEBAB,piña special baby,1.5 - 2.5,399
197104,canastas,2026-07-17,PEGUA,piña special guapita,1.5 - 2.5,804
197114,canastas,2026-07-17,PEBAB,piña special baby,1.5 - 2.5,408
197117,canastas,2026-07-17,PEBAB,piña special baby,1.5 - 2.5,406
197127,canastas,2026-07-17,PEBAB,piña special baby,1.5 - 2.5,417
197129,canastas,2026-07-17,PEGUA,piña special guapita,1.5 - 2.5,449
197134,canastas,2026-07-17,PEBAB,piña special baby,1.5 - 2.5,409
197147,canastas,2026-07-17,PEGUA,piña special guapita,1.5 - 2.5,451
197161,canastas,2026-07-17,PEGUA,piña special guapita,1.5 - 2.5,490
197182,canastas,2026-07-17,PEBAB,piña special baby,1.5 - 2.5,578
197189,canastas,2026-07-17,PEBAB,piña special baby,1.5 - 2.5,418
197205,canastas,2026-07-17,ADBABY,Piña ADBABY,1.5 - 2.5,296
197207,canastas,2026-07-17,ADGUA,Piña ADGUA,1.5 - 2.5,404
197223,canastas,2026-07-17,ADBABY,Piña ADBABY,1.5 - 2.5,82
197270,canastas,2026-07-19,ADGUA,Piña ADGUA,1.5 - 2.5,467
197302,canastas,2026-07-19,ADBABY,Piña ADBABY,1.5 - 2.5,500
197370,canastas,2026-07-19,PEBAB,piña special baby,1.5 - 2.5,263
197383,canastas,2026-07-20,PEGUA,piña special guapita,1.5 - 2.5,498
197391,canastas,2026-07-20,PE1,piña special 1ra,4,542
197393,canastas,2026-07-20,PE1,piña special 1ra,0.0 - 1.0,843
197399,canastas,2026-07-20,PEGUA,piña special guapita,1.5 - 2.5,488
197401,canastas,2026-07-20,PEBAB,piña special baby,1.5 - 2.5,446
197402,canastas,2026-07-20,PE1,piña special 1ra,4,534
197407,canastas,2026-07-20,PEBAB,piña special baby,1.5 - 2.5,402
197409,canastas,2026-07-20,PE2,piña special 2da,4,509
197413,canastas,2026-07-20,PEGUA,piña special guapita,1.5 - 2.5,484
197415,canastas,2026-07-20,PE1,piña special 1ra,4,518
197423,canastas,2026-07-20,PEBAB,piña special baby,1.5 - 2.5,415
197429,canastas,2026-07-20,PE1,piña special 1ra,4,518
197431,canastas,2026-07-20,PEBAB,piña special baby,1.5 - 2.5,403
